	per_tst	Acuracia	Recall	Precision
0	0,1	0,14285714285714285	0,03896103896103896	0,14285714285714285
1	0,1	0,5238095238095238	0,4139194139194139	0,5238095238095238
2	0,1	0,2857142857142857	0,08163265306122448	0,2857142857142857
3	0,1	0,42857142857142855	0,18367346938775508	0,42857142857142855
4	0,1	0,7142857142857143	0,5767195767195767	0,7142857142857143
5	0,1	0,3333333333333333	0,11111111111111109	0,3333333333333333
6	0,1	0,19047619047619047	0,036281179138321996	0,19047619047619047
7	0,1	0,5714285714285714	0,35714285714285715	0,5714285714285714
8	0,1	0,6666666666666666	0,4888888888888888	0,6666666666666666
9	0,1	0,7619047619047619	0,6564625850340137	0,7619047619047619
10	0,2	0,5952380952380952	0,4600340136054421	0,5952380952380952
11	0,2	0,7142857142857143	0,5748299319727891	0,7142857142857143
12	0,2	0,5952380952380952	0,4055059523809524	0,5952380952380952
13	0,2	0,6428571428571429	0,47160493827160493	0,6428571428571429
14	0,2	0,6428571428571429	0,4659863945578231	0,6428571428571429
15	0,2	0,21428571428571427	0,04591836734693877	0,21428571428571427
16	0,2	0,5952380952380952	0,40674603174603174	0,5952380952380952
17	0,2	0,2857142857142857	0,19999999999999996	0,2857142857142857
18	0,2	0,3333333333333333	0,11111111111111109	0,3333333333333333
19	0,2	0,6428571428571429	0,47160493827160493	0,6428571428571429
20	0,3	0,5873015873015873	0,43298059964726626	0,5873015873015873
21	0,3	0,5873015873015873	0,4029982363315696	0,5873015873015873
22	0,3	0,6984126984126984	0,540079365079365	0,6984126984126984
23	0,3	0,7301587301587301	0,5880758807588076	0,7301587301587301
24	0,3	0,8095238095238095	0,8809523809523809	0,8095238095238095
25	0,3	0,5873015873015873	0,4184704184704185	0,5873015873015873
26	0,3	0,30158730158730157	0,09095490047871001	0,30158730158730157
27	0,3	0,5714285714285714	0,43759018759018764	0,5714285714285714
28	0,3	0,6190476190476191	0,44072948328267475	0,6190476190476191
29	0,3	0,2698412698412698	0,072814310909549	0,2698412698412698
30	0,4	0,9047619047619048	0,9103641456582633	0,9047619047619048
31	0,4	0,5833333333333334	0,4218390804597701	0,5833333333333334
32	0,4	0,32142857142857145	0,11126373626373627	0,32142857142857145
33	0,4	0,7261904761904762	0,8461277173913043	0,7261904761904762
34	0,4	0,39285714285714285	0,15433673469387754	0,39285714285714285
35	0,4	0,38095238095238093	0,14512471655328799	0,38095238095238093
36	0,4	0,3333333333333333	0,11111111111111109	0,3333333333333333
37	0,4	0,36904761904761907	0,13619614512471656	0,36904761904761907
38	0,4	0,2857142857142857	0,08163265306122448	0,2857142857142857
39	0,4	0,6071428571428571	0,4303571428571428	0,6071428571428571
40	0,5	0,3238095238095238	0,2297083419724929	0,3238095238095238
41	0,5	0,3238095238095238	0,10485260770975056	0,3238095238095238
42	0,5	0,6190476190476191	0,45072789679251984	0,6190476190476191
43	0,5	0,4666666666666667	0,4796145883102405	0,4666666666666667
44	0,5	0,6476190476190476	0,47540293040293036	0,6476190476190476
45	0,5	0,6571428571428571	0,4793582844096543	0,6571428571428571
46	0,5	0,9428571428571428	0,9518796992481203	0,9428571428571428
47	0,5	0,8666666666666667	0,8885852885852886	0,8666666666666667
48	0,5	0,6285714285714286	0,4631690514043455	0,6285714285714286
49	0,5	0,638095238095238	0,47391012743125416	0,638095238095238
50	0,6	0,7777777777777778	0,8018956120459879	0,7777777777777778
